Municipio,Sector,Estrato,Servicio,Cargo Fijo,Cargo por Consumo Menor,Cargo por Consumo Mayor,Cargo por Consumo,Suspensión,Reinstalación,Reconexión,Corte,Año,Mes
Medellín,Residencial,4,alcantarillado,4590.96,1760.66,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
La Estrella,Comercial,,Acueducto,13262.37,0.00,0.00,3172.73,10935.89,9374.13,17186.50,18748.25,2018,Abril
Caldas,Residencial,1,acueducto,4625.59,813.59,1506.65,0.00,10935.89,8851.87,16229.00,17703.74,2018,Enero
Todos,Todos,Todos,acueducto,0.00,0.00,0.00,0.00,10326.62,8851.87,16229.00,17703.74,2018,Febrero
Itaguí,Comercial,Comercial,alcantarillado,6886.44,0.00,0.00,2632.84,0.00,0.00,0.00,0.00,2018,Abril
Sabaneta,Comercial,,acueducto,7115.99,0.00,0.00,2729.02,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Medellín,Residencial,1,alcantarillado,1836.38,704.26,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Girardota,Comercial,,acueducto,6897.70,0.00,0.00,2640.98,10935.89,9374.13,17186.50,18748.25,2018,Enero
Medellín,Residencial,5,acueducto,12834.56,3070.39,3070.39,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Girardota,Comercial,,alcantarillado,12834.56,0.00,0.00,3070.39,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Caldas,Residencial,5,alcantarillado,6897.70,971.39,971.39,0.00,0.00,0.00,0.00,0.00,2018,Enero
Envigado,Comercial,,acueducto,7115.99,0.00,0.00,2729.02,10935.89,9374.13,17186.50,18748.25,2018,Marzo
La Estrella,Residencial,3,Acueducto,8556.37,2046.93,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Girardota,Residencial,3,alcantarillado,3902.32,1496.56,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Barbosa,Residencial,1,acueducto,5989.46,982.99,1404.27,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Caldas,Residencial,3,acueducto,8565.91,1506.65,1506.65,0.00,10935.89,8851.87,16229.00,17703.74,2018,Enero
Barbosa,Residencial,2,Acueducto,6845.10,1123.41,1404.27,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Girardota,Industrial,,alcantarillado,12834.56,0.00,0.00,3070.39,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Sabaneta,Industrial,,acueducto,12309.22,0.00,0.00,2551.56,10935.89,9374.13,17186.50,18748.25,2018,Enero
Envigado,Residencial,1,acueducto,2566.91,614.08,2046.93,0.00,10935.89,8851.87,16229.00,17703.74,2018,Enero
Medellín,Comercial,Comercial,acueducto,12834.56,0.00,0.00,2579.66,10326.62,8851.87,16229.00,17703.74,2018,Marzo
Itaguí,Residencial,2,alcantarillado,2984.12,1144.43,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Abril
Copacabana,Residencial,3,alcantarillado,4590.96,1760.66,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Copacabana,Residencial,3,acueducto,8556.37,2046.93,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Itaguí,Residencial,1,alcantarillado,2525.03,968.36,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Bello,Residencial,4,acueducto,8556.37,2046.93,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Estrella,Residencial,5,alcantarillado,6886.44,2640.98,2640.98,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Bello,Oficial y Exenta,,Acueducto,8556.37,0.00,0.00,2046.93,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Caldas,Residencial,6,Alcantarillado,7345.54,1133.53,1133.53,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Medellín,Residencial,2,acueducto,5133.82,1228.16,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Medellín,Residencial,5,acueducto,12834.56,3070.39,3070.39,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Girardota,Residencial,1,acueducto,2566.91,614.08,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Envigado,Oficial y Exenta,,alcantarillado,8556.37,0.00,0.00,2046.93,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Estrella,Industrial,,alcantarillado,11978.92,0.00,0.00,2865.70,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Envigado,Residencial,2,alcantarillado,2754.58,1056.39,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Abril
Itaguí,Residencial,4,Acueducto,8556.37,2046.93,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Copacabana,Residencial,1,Alcantarillado,2295.48,880.33,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Itaguí,Comercial,,Acueducto,13690.19,0.00,0.00,3275.08,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Girardota,Industrial,Industrial,alcantarillado,6886.44,0.00,0.00,2632.84,0.00,0.00,0.00,0.00,2018,Abril
Estrella,Residencial,1,acueducto,4282.96,887.81,1775.61,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Itaguí,Residencial,3,Alcantarillado,4361.41,1672.62,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Estrella,Residencial,5,acueducto,12848.87,2663.42,2663.42,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Sabaneta,Residencial,2,acueducto,5304.95,1269.09,2046.93,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Sabaneta,Residencial,3,acueducto,8308.94,1722.35,1775.61,0.00,10935.89,8851.87,16229.00,17703.74,2018,Enero
Medellín,Residencial,5,alcantarillado,6886.44,2640.98,2640.98,0.00,0.00,0.00,0.00,0.00,2018,Febrero
Copacabana,Industrial,,acueducto,5968.25,0.00,0.00,2288.85,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Copacabana,Residencial,5,acueducto,13962.44,2894.25,2894.25,0.00,10935.89,8851.87,16229.00,17703.74,2018,Enero
Estrella,Oficial y Exenta,,alcantarillado,4598.47,0.00,0.00,1760.66,10935.89,9374.13,17186.50,18748.25,2018,Enero
Medellín,Residencial,2,alcantarillado,2754.58,1056.39,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Febrero
Sabaneta,Residencial,2,Acueducto,5133.82,1228.16,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
La Estrella,Oficial y Exenta,Oficial y Exenta,acueducto,8565.91,0.00,0.00,1775.61,10935.89,8851.87,16229.00,17703.74,2018,Enero
Caldas,Residencial,3,Alcantarillado,4407.32,673.03,708.46,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Itaguí,Residencial,5,alcantarillado,6886.44,2640.98,2640.98,0.00,0.00,0.00,0.00,0.00,2018,Abril
Barbosa,Industrial,,alcantarillado,12834.56,0.00,0.00,2106.40,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Envigado,Comercial,Comercial,alcantarillado,7127.62,0.00,0.00,2553.54,0.00,0.00,0.00,0.00,2018,Enero
Medellín,Residencial,3,Alcantarillado,4017.09,1540.57,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Copacabana,Residencial,2,acueducto,5304.95,1269.09,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Barbosa,Residencial,5,acueducto,12834.56,2106.40,2106.40,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Caldas,Residencial,5,acueducto,12834.56,2309.03,2309.03,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Girardota,Oficial y Exenta,Oficial y Exenta,alcantarillado,4590.96,0.00,0.00,1755.23,0.00,0.00,0.00,0.00,2018,Abril
Caldas,Residencial,4,alcantarillado,4590.96,708.46,708.46,0.00,0.00,0.00,0.00,0.00,2018,Abril
Envigado,Residencial,1,alcantarillado,1379.54,528.20,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Caldas,Residencial,1,Acueducto,4620.44,831.25,1539.36,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Caldas,Residencial,2,acueducto,7272.91,1308.45,1539.36,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Caldas,Oficial y Exenta,,alcantarillado,8556.37,0.00,0.00,1539.36,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Caldas,Residencial,2,Alcantarillado,3948.23,609.27,708.46,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Caldas,Residencial,4,acueducto,8565.91,1506.65,1506.65,0.00,10935.89,8851.87,16229.00,17703.74,2018,Enero
Copacabana,Comercial,,Alcantarillado,6886.44,0.00,0.00,2640.98,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Sabaneta,Comercial,,Acueducto,13262.37,0.00,0.00,3172.73,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Bello,Residencial,2,acueducto,5133.82,1228.16,2046.93,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Medellín,Residencial,3,alcantarillado,4017.09,1540.57,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Febrero
Girardota,Residencial,5,acueducto,12848.87,2663.42,2663.42,0.00,10935.89,8851.87,16229.00,17703.74,2018,Enero
Medellín,Residencial,5,Acueducto,12834.56,3070.39,3070.39,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Girardota,Comercial,,acueducto,6886.44,0.00,0.00,2640.98,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Sabaneta,Residencial,5,acueducto,12834.56,3070.39,3070.39,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
La Estrella,Oficial y Exenta,Oficial y Exenta,alcantarillado,4590.96,0.00,0.00,1755.23,0.00,0.00,0.00,0.00,2018,Abril
Caldas,Industrial,,Acueducto,11123.28,0.00,0.00,2001.16,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Caldas,Residencial,2,Acueducto,7272.91,1308.45,1539.36,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Envigado,Residencial,5,Acueducto,14118.01,3377.43,3377.43,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Bello,Residencial,3,acueducto,8556.37,2046.93,2046.93,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Copacabana,Oficial y Exenta,,Alcantarillado,4590.96,0.00,0.00,1760.66,10935.89,9374.13,17186.50,18748.25,2018,Abril
Sabaneta,Residencial,1,acueducto,2569.77,532.68,1775.61,0.00,10935.89,8851.87,16229.00,17703.74,2018,Enero
Copacabana,Residencial,6,alcantarillado,8139.29,3116.36,3116.36,0.00,0.00,0.00,0.00,0.00,2018,Enero
Sabaneta,Residencial,5,Alcantarillado,6886.44,2640.98,2640.98,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Copacabana,Residencial,6,Alcantarillado,8126.00,3116.36,3116.36,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Girardota,Residencial,1,alcantarillado,1379.54,528.20,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Envigado,Residencial,4,Alcantarillado,4590.96,1760.66,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Barbosa,Residencial,6,alcantarillado,7357.55,1518.71,1518.71,0.00,0.00,0.00,0.00,0.00,2018,Enero
Girardota,Industrial,,Alcantarillado,6886.44,0.00,0.00,2640.98,10935.89,9374.13,17186.50,18748.25,2018,Abril
La Estrella,Industrial,,Acueducto,11978.92,0.00,0.00,2865.70,10935.89,9374.13,17186.50,18748.25,2018,Febrero
La Estrella,Industrial,,Alcantarillado,6427.34,0.00,0.00,2464.92,10935.89,9374.13,17186.50,18748.25,2018,Febrero
La Estrella,Residencial,5,Acueducto,12834.56,3070.39,3070.39,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Barbosa,Residencial,1,alcantarillado,3443.22,764.51,1019.34,0.00,0.00,0.00,0.00,0.00,2018,Abril
Girardota,Residencial,1,Alcantarillado,1377.29,528.20,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Itaguí,Residencial,1,alcantarillado,2529.16,968.36,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Bello,Residencial,4,alcantarillado,4590.96,1760.66,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Abril
Bello,Residencial,1,Acueducto,3422.55,818.77,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Medellín,Residencial,1,acueducto,3422.55,818.77,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Medellín,Industrial,,Acueducto,11123.28,0.00,0.00,2661.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Medellín,Oficial y Exenta,,Alcantarillado,4590.96,0.00,0.00,1760.66,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Envigado,Residencial,6,Alcantarillado,7620.99,2922.69,2922.69,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Medellín,Residencial,3,alcantarillado,4023.66,1540.57,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Enero
Girardota,Residencial,1,acueducto,2566.91,614.08,2046.93,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Caldas,Residencial,6,alcantarillado,7345.54,1133.53,1133.53,0.00,0.00,0.00,0.00,0.00,2018,Abril
Estrella,Residencial,2,acueducto,5139.55,1065.37,1775.61,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Barbosa,Residencial,1,alcantarillado,3443.22,764.51,1019.34,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Girardota,Residencial,6,alcantarillado,7357.55,2817.05,2817.05,0.00,0.00,0.00,0.00,0.00,2018,Enero
Barbosa,Comercial,,Acueducto,12834.56,0.00,0.00,2106.40,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Barbosa,Oficial y Exenta,Oficial y Exenta,alcantarillado,4598.47,0.00,0.00,949.19,0.00,0.00,0.00,0.00,2018,Enero
Envigado,Oficial y Exenta,Oficial y Exenta,alcantarillado,4598.47,0.00,0.00,1760.66,10935.89,9374.13,17186.50,18748.25,2018,Enero
Copacabana,Residencial,1,alcantarillado,1377.29,528.20,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Abril
La Estrella,Residencial,6,acueducto,13690.19,3275.08,3275.08,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Sabaneta,Residencial,4,acueducto,8556.37,2046.93,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Barbosa,Residencial,5,Alcantarillado,6886.44,1529.01,1529.01,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Sabaneta,Residencial,5,alcantarillado,6886.44,2640.98,2640.98,0.00,0.00,0.00,0.00,0.00,2018,Abril
Itaguí,Residencial,4,Alcantarillado,4590.96,1760.66,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Barbosa,Residencial,2,acueducto,6852.73,1047.16,1308.95,0.00,10935.89,8851.87,16229.00,17703.74,2018,Enero
Itaguí,Residencial,5,Acueducto,12834.56,3070.39,3070.39,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Sabaneta,Oficial y Exenta,,acueducto,4590.96,0.00,0.00,1760.66,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Girardota,Oficial y Exenta,,acueducto,4598.47,0.00,0.00,1760.66,10935.89,9374.13,17186.50,18748.25,2018,Enero
Barbosa,Residencial,5,acueducto,12834.56,2106.40,2106.40,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Itaguí,Residencial,3,acueducto,8128.55,1944.58,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Barbosa,Residencial,2,Alcantarillado,3672.77,815.47,1019.34,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Caldas,Residencial,1,Alcantarillado,3764.59,580.93,708.46,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
La Estrella,Oficial y Exenta,Oficial y Exenta,alcantarillado,4598.47,0.00,0.00,1760.66,0.00,0.00,0.00,0.00,2018,Enero
Medellín,Residencial,3,acueducto,7486.82,1791.06,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Girardota,Residencial,6,acueducto,13690.19,3275.08,3275.08,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Bello,Residencial,3,Alcantarillado,4131.86,1584.59,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Barbosa,Oficial y Exenta,,Acueducto,8556.37,0.00,0.00,1404.27,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Caldas,Residencial,3,alcantarillado,4414.53,615.21,647.59,0.00,0.00,0.00,0.00,0.00,2018,Enero
Envigado,Residencial,2,Acueducto,5133.82,1228.16,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Medellín,Residencial,1,acueducto,3422.55,818.77,2046.93,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Girardota,Residencial,2,alcantarillado,2754.58,1056.39,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Envigado,Residencial,2,acueducto,5139.55,1065.37,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2018,Enero
Barbosa,Residencial,2,alcantarillado,3678.77,759.35,949.19,0.00,0.00,0.00,0.00,0.00,2018,Enero
Itaguí,Residencial,3,alcantarillado,4361.41,1672.62,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Abril
Girardota,Residencial,2,Acueducto,5133.82,1228.16,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Itaguí,Residencial,2,alcantarillado,2989.00,1144.43,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Sabaneta,Residencial,5,Acueducto,12834.56,3070.39,3070.39,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Medellín,Residencial,1,alcantarillado,1836.38,704.26,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Enero
Envigado,Residencial,4,Alcantarillado,4590.96,1760.66,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Envigado,Residencial,3,alcantarillado,4276.57,1637.41,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Enero
Bello,Residencial,4,Acueducto,8556.37,2046.93,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Barbosa,Residencial,6,acueducto,13690.19,2246.83,2246.83,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Envigado,Industrial,Industrial,acueducto,13262.37,0.00,0.00,2483.18,10326.62,8851.87,16229.00,17703.74,2018,Abril
Copacabana,Residencial,4,acueducto,8556.37,2046.93,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Itaguí,Industrial,Industrial,acueducto,11978.92,0.00,0.00,2483.18,10326.62,8851.87,16229.00,17703.74,2018,Abril
Medellín,Residencial,6,alcantarillado,7345.54,2817.05,2817.05,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Caldas,Oficial y Exenta,,Acueducto,8556.37,0.00,0.00,1539.36,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Envigado,Comercial,,alcantarillado,13262.37,0.00,0.00,3172.73,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Sabaneta,Residencial,2,alcantarillado,2759.08,1056.39,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Caldas,Residencial,5,Acueducto,12834.56,2309.03,2309.03,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Medellín,Residencial,3,acueducto,7486.82,1791.06,2046.93,0.00,10326.62,8851.87,16229.00,17703.74,2018,Marzo
Barbosa,Industrial,Industrial,acueducto,12848.87,0.00,0.00,1963.42,10935.89,8851.87,16229.00,17703.74,2018,Enero
La Estrella,Residencial,1,Acueducto,4278.19,1023.46,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Medellín,Oficial y Exenta,Oficial y Exenta,acueducto,8556.37,0.00,0.00,1719.77,10326.62,8851.87,16229.00,17703.74,2018,Febrero
Medellín,Residencial,6,acueducto,13690.19,3275.08,3275.08,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Medellín,Residencial,5,alcantarillado,6886.44,2640.98,2640.98,0.00,0.00,0.00,0.00,0.00,2018,Enero
Itaguí,Industrial,Industrial,acueducto,11992.28,0.00,0.00,2485.86,10935.89,9374.13,17186.50,18748.25,2018,Enero
Medellín,Residencial,2,acueducto,5133.82,1228.16,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
La Estrella,Industrial,,Acueducto,11978.92,0.00,0.00,2865.70,10935.89,9374.13,17186.50,18748.25,2018,Abril
Itaguí,Residencial,1,alcantarillado,2525.03,968.36,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Abril
Sabaneta,Comercial,,acueducto,13277.17,0.00,0.00,2752.20,10935.89,9374.13,17186.50,18748.25,2018,Enero
Barbosa,Residencial,2,acueducto,6845.10,1123.41,1404.27,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Sabaneta,Residencial,2,Alcantarillado,2754.58,1056.39,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Copacabana,Comercial,,Acueducto,12834.56,0.00,0.00,3404.04,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Envigado,Residencial,3,acueducto,8137.62,1686.83,1775.61,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Caldas,Oficial y Exenta,Oficial y Exenta,acueducto,8565.91,0.00,0.00,1506.65,10935.89,8851.87,16229.00,17703.74,2018,Enero
Copacabana,Residencial,4,acueducto,8565.91,1775.61,1775.61,0.00,10935.89,8851.87,16229.00,17703.74,2018,Enero
Bello,Comercial,,Alcantarillado,7115.99,0.00,0.00,2729.02,10935.89,9374.13,17186.50,18748.25,2018,Abril
Barbosa,Residencial,3,Acueducto,8556.37,1404.27,1404.27,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Girardota,Residencial,4,alcantarillado,4598.47,1760.66,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Estrella,Residencial,6,acueducto,13690.19,3275.08,3275.08,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Todos,Todos,Todos,acueducto,0.00,0.00,0.00,0.00,10326.62,8851.87,16229.00,17703.74,2018,Marzo
Itaguí,Residencial,2,acueducto,5567.84,1154.15,1775.61,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Sabaneta,Residencial,1,alcantarillado,1377.29,528.20,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Copacabana,Residencial,2,Acueducto,5304.95,1269.09,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Sabaneta,Industrial,,alcantarillado,12295.50,0.00,0.00,2941.43,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Envigado,Industrial,Industrial,alcantarillado,6886.44,0.00,0.00,2281.79,0.00,0.00,0.00,0.00,2018,Abril
Medellín,Comercial,Comercial,alcantarillado,6886.44,0.00,0.00,2640.98,10935.89,9374.13,17186.50,18748.25,2018,Enero
Bello,Residencial,4,acueducto,8556.37,2046.93,2046.93,0.00,10326.62,8851.87,16229.00,17703.74,2018,Abril
Caldas,Residencial,2,alcantarillado,3948.23,609.27,708.46,0.00,0.00,0.00,0.00,0.00,2018,Abril
Medellín,Residencial,6,alcantarillado,7345.54,2817.05,2817.05,0.00,0.00,0.00,0.00,0.00,2018,Abril
Sabaneta,Residencial,6,acueducto,13690.19,3275.08,3275.08,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Caldas,Industrial,,Alcantarillado,5968.25,0.00,0.00,920.99,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Medellín,Residencial,6,Acueducto,13690.19,3275.08,3275.08,0.00,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Barbosa,Industrial,,acueducto,6886.44,0.00,0.00,1529.01,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Estrella,Comercial,,acueducto,13705.46,0.00,0.00,2840.98,10935.89,9374.13,17186.50,18748.25,2018,Enero
Bello,Residencial,1,acueducto,3422.55,818.77,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Copacabana,Residencial,1,alcantarillado,2299.23,880.33,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Enero
Envigado,Residencial,4,Acueducto,8556.37,2046.93,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Copacabana,Residencial,4,alcantarillado,4590.96,1760.66,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Bello,Residencial,6,Acueducto,15401.47,3684.47,3684.47,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Barbosa,Residencial,3,alcantarillado,4590.96,1019.34,1019.34,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Sabaneta,Residencial,5,acueducto,12848.87,2663.42,2663.42,0.00,10935.89,9374.13,17186.50,18748.25,2018,Enero
Girardota,Comercial,Comercial,acueducto,12848.87,0.00,0.00,2663.42,10935.89,8851.87,16229.00,17703.74,2018,Enero
Itaguí,Residencial,2,alcantarillado,2984.12,1144.43,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Bello,Residencial,4,Alcantarillado,4590.96,1760.66,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Copacabana,Residencial,6,Acueducto,16513.79,3950.57,3950.57,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
Bello,Oficial y Exenta,Oficial y Exenta,acueducto,8556.37,0.00,0.00,1773.70,10326.62,8851.87,16229.00,17703.74,2018,Abril
Bello,Residencial,3,acueducto,8556.37,2046.93,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Medellín,Residencial,2,alcantarillado,2754.58,1056.39,1760.66,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Envigado,Residencial,5,acueducto,14118.01,3377.43,3377.43,0.00,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Medellín,Residencial,2,acueducto,5133.82,1228.16,2046.93,0.00,10935.89,8851.87,16229.00,17703.74,2018,Enero
Medellín,Residencial,1,alcantarillado,1836.38,704.26,1760.66,0.00,0.00,0.00,0.00,0.00,2018,Febrero
La Estrella,Comercial,Comercial,acueducto,13262.37,0.00,0.00,2749.24,10326.62,8851.87,16229.00,17703.74,2018,Abril
Medellín,Oficial y Exenta,,Alcantarillado,4590.96,0.00,0.00,1760.66,10935.89,9374.13,17186.50,18748.25,2018,Abril
Barbosa,Oficial y Exenta,,Alcantarillado,4590.96,0.00,0.00,1019.34,10935.89,9374.13,17186.50,18748.25,2018,Febrero
Copacabana,Oficial y Exenta,,acueducto,4590.96,0.00,0.00,1760.66,10935.89,9374.13,17186.50,18748.25,2018,Marzo
Sabaneta,Oficial y Exenta,,Acueducto,8556.37,0.00,0.00,2046.93,10935.89,9374.13,17186.50,18748.25,2018,Abril
Barbosa,Oficial y Exenta,Oficial y Exenta,alcantarillado,4590.96,0.00,0.00,951.93,0.00,0.00,0.00,0.00,2018,Abril
Girardota,Comercial,Comercial,acueducto,12834.56,0.00,0.00,2660.55,10326.62,8851.87,16229.00,17703.74,2018,Abril
Girardota,Residencial,6,alcantarillado,7345.54,2817.05,2817.05,0.00,0.00,0.00,0.00,0.00,2018,Abril
Copacabana,Residencial,3,Acueducto,8556.37,2046.93,2046.93,0.00,10935.89,9374.13,17186.50,18748.25,2018,Abril
